aspect,chili,elevation,lat,long,newfire,newfire_yr,oldfire,oldfire_yr,reburn,slope,tpi,folded_aspect
285.05447,154,663,42.2972441,-123.9882435,chetco,2017,biscuit,2002,biscuit_chetco,13.998186,52,74.94553
235.3099,221,1089,42.1306667,-123.9528025,chetco,2017,biscuit,2002,biscuit_chetco,21.7123,17,124.6901
57.614666,158,611,42.2709253,-123.9435758,chetco,2017,biscuit,2002,biscuit_chetco,10.278218,14,57.614666
192.02318,236,746,42.1525407,-123.977637,chetco,2017,biscuit,2002,biscuit_chetco,17.456587,-35,167.97682
239.34264,228,835,42.1885448,-124.0316604,chetco,2017,biscuit,2002,biscuit_chetco,20.854902,60,120.65736
187.00493,227,241,42.2796354,-124.0479538,chetco,2017,biscuit,2002,biscuit_chetco,19.738455,-80,172.99507
16.7126,179,476,42.2587977,-124.0230935,chetco,2017,biscuit,2002,biscuit_chetco,8.649265,-19,16.7126
54.933952,107,1162,42.3649143,-123.9350605,chetco,2017,biscuit,2002,biscuit_chetco,28.16223,103,54.933952
240.26488,226,885,42.3361604,-123.9697901,chetco,2017,biscuit,2002,biscuit_chetco,29.022947,13,119.73512
85.01997,131,1266,42.2118134,-123.8268847,chetco,2017,biscuit,2002,biscuit_chetco,20.453192,76,85.01997
74.9414,150,745,42.2791866,-123.9796121,chetco,2017,biscuit,2002,biscuit_chetco,13.994593,4,74.9414
32.234062,137,900,42.261779,-123.9753738,chetco,2017,biscuit,2002,biscuit_chetco,16.016613,60,32.234062
18.650713,118,775,42.2099524,-124.0158677,chetco,2017,biscuit,2002,biscuit_chetco,15.288836,45,18.650713
330.14386,176,1038,42.346101,-123.9014914,chetco,2017,biscuit,2002,biscuit_chetco,31.630821,32,29.85614
27.463291,112,227,42.2688197,-124.0634111,chetco,2017,biscuit,2002,biscuit_chetco,25.376703,-72,27.463291
110.92444,131,674,42.3355196,-123.9412309,chetco,2017,biscuit,2002,biscuit_chetco,34.211727,-91,110.92444
0,141,489,42.2986917,-124.0052096,chetco,2017,biscuit,2002,biscuit_chetco,8.2891,-11,0
206.15855,226,398,42.2382226,-124.0705251,chetco,2017,biscuit,2002,biscuit_chetco,11.220903,-81,153.84145
196.70705,236,448,42.2365838,-124.0825802,chetco,2017,biscuit,2002,biscuit_chetco,16.920912,-38,163.29295
263.24097,202,891,42.2059151,-123.9533892,chetco,2017,biscuit,2002,biscuit_chetco,28.81802,-5,96.75903
9.214423,118,741,42.2924566,-123.9946031,chetco,2017,biscuit,2002,biscuit_chetco,22.29288,20,9.214423
80.64683,121,1146,42.1670025,-123.8674603,chetco,2017,biscuit,2002,biscuit_chetco,30.86382,43,80.64683
245.16553,199,606,42.2285402,-124.0406721,chetco,2017,biscuit,2002,biscuit_chetco,10.907886,-68,114.83447
191.5557,245,825,42.1806139,-123.8773253,chetco,2017,biscuit,2002,biscuit_chetco,28.601355,-44,168.4443
205.01836,211,409,42.3651045,-123.9596499,chetco,2017,biscuit,2002,biscuit_chetco,27.386553,-110,154.98164
65.01952,100,422,42.2728162,-123.9234244,chetco,2017,biscuit,2002,biscuit_chetco,33.08972,-4,65.01952
176.13338,235,564,42.2874827,-123.9425806,chetco,2017,biscuit,2002,biscuit_chetco,17.977938,-46,176.13338
41.973114,120,988,42.1742493,-123.8644083,chetco,2017,biscuit,2002,biscuit_chetco,18.087242,23,41.973114
348.26178,102,768,42.2339418,-123.876558,chetco,2017,biscuit,2002,biscuit_chetco,32.814236,67,11.73822
316.93314,150,685,42.2113061,-124.0207658,chetco,2017,biscuit,2002,biscuit_chetco,16.069334,-40,43.06686
192.31279,245,786,42.3579385,-124.002235,chetco,2017,biscuit,2002,biscuit_chetco,27.186644,36,167.68721
270,188,959,42.3226052,-124.0689303,chetco,2017,biscuit,2002,biscuit_chetco,26.728195,67,90
311.61996,176,477,42.2353606,-124.0681716,chetco,2017,biscuit,2002,biscuit_chetco,16.302496,-32,48.38004
335.77835,87,826,42.1873965,-123.8388194,chetco,2017,biscuit,2002,biscuit_chetco,9.076525,-63,24.22165
262.02988,206,551,42.2646809,-123.9232352,chetco,2017,biscuit,2002,biscuit_chetco,39.256702,70,97.97012
32.863605,107,837,42.2422187,-123.9567269,chetco,2017,biscuit,2002,biscuit_chetco,23.905565,-44,32.863605
79.94974,129,494,42.3991337,-123.9631209,chetco,2017,biscuit,2002,biscuit_chetco,29.098616,-6,79.94974
180,237,582,42.2735295,-123.8699619,chetco,2017,biscuit,2002,biscuit_chetco,21.231472,-55,180
75.19067,86,656,42.2446598,-123.9295561,chetco,2017,biscuit,2002,biscuit_chetco,32.34674,16,75.19067
346.41037,73,836,42.3783215,-123.946591,chetco,2017,biscuit,2002,biscuit_chetco,25.000237,27,13.58963
226.05934,224,885,42.1579249,-123.9798935,chetco,2017,biscuit,2002,biscuit_chetco,16.870827,-1,133.94066
